Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,Distributor,Opening,Budget,Date,Runtime,Genres
303,Kingsman: The Golden Circle,"$410,902,662","$100,234,838",24.4%,"$310,667,824",75.6%,2017,TwentiethCenturyFox,"$39,023,010","$104,000,000","September20,2017(7markets)",2hr21min,ActionAdventureComedyCrimeThriller
304,The Mummy,"$409,231,607","$80,227,895",19.6%,"$329,003,712",80.4%,2017,UniversalPictures,"$31,688,375","$125,000,000","June6,2017(SouthKorea)",1hr51min,ActionAdventureFantasyHorrorThriller
305,Ice Age: Collision Course,"$408,754,975","$64,063,008",15.7%,"$344,691,967",84.3%,2016,TwentiethCenturyFox,"$21,373,064","$105,000,000","June30,2016(6markets)",1hr34min,AdventureAnimationComedyFamily
306,Twilight,"$408,430,415","$193,962,473",47.5%,"$214,467,942",52.5%,2008,SummitEntertainment,"$69,637,740","$37,000,000","November20,2008(Russia/CIS)",2hr2min,DramaFantasyRomance
307,Signs,"$408,247,917","$227,966,634",55.8%,"$180,281,283",44.2%,2002,WaltDisneyStudiosMotionPictures,"$60,117,080","$72,000,000","August2,2002(Domestic,APAC)",1hr46min,DramaMysterySci-FiThriller
308,X2: X-Men United,"$407,711,549","$214,949,694",52.7%,"$192,761,855",47.3%,2003,TwentiethCenturyFox,"$85,558,731","$110,000,000","April30,2003(24markets)",2hr14min,ActionSci-FiThriller
309,Alita: Battle Angel,"$404,980,543","$85,838,210",21.2%,"$319,142,333",78.8%,2019,TwentiethCenturyFox,"$28,525,613","$170,000,000","February5,2019(SouthKorea)",2hr2min,ActionAdventureSci-FiThriller
310,The Mummy: Tomb of the Dragon Emperor,"$403,449,830","$102,491,776",25.4%,"$300,958,054",74.6%,2008,UniversalPictures,"$40,457,770","$145,000,000","July30,2008(APAC,LATAM)",1hr52min,ActionFantasyHorrorWar
311,Prometheus,"$403,354,469","$126,477,084",31.4%,"$276,877,385",68.6%,2012,TwentiethCenturyFox,"$51,050,101","$130,000,000","May30,2012(EMEA)",2hr4min,AdventureMysterySci-Fi
312,Gone with the Wind,"$402,352,579","$200,852,579",49.9%,"$201,500,000",50.1%,1939,,$0,$0,,,
313,Mamma Mia! Here We Go Again,"$402,253,849","$120,634,935",30%,"$281,618,914",70%,2018,UniversalPictures,"$34,952,180","$75,000,000","July18,2018(EMEA,APAC)",1hr54min,ComedyMusicalRomance
314,TRON: Legacy,"$400,063,852","$172,062,763",43%,"$228,001,089",57%,2010,WaltDisneyStudiosMotionPictures,"$44,026,211","$170,000,000","December16,2010(13markets)",2hr5min,ActionAdventureSci-Fi
315,Mission: Impossible III,"$398,479,497","$134,029,801",33.6%,"$264,449,696",66.4%,2006,ParamountPictures,"$47,743,273","$150,000,000","May3,2006(EMEA,APAC)",2hr6min,ActionAdventureThriller
316,Snow White and the Huntsman,"$396,592,829","$155,332,381",39.2%,"$241,260,448",60.8%,2012,UniversalPictures,"$56,217,700","$170,000,000","May30,2012(EMEA)",2hr7min,ActionAdventureDramaFantasy
317,Grease,"$396,271,103","$190,071,103",48%,"$206,200,000",52%,1978,ParamountPictures,"$8,941,717","$6,000,000","June16,1978(Domestic)",1hr50min,MusicalRomance
318,Toy Story,"$394,436,586","$223,225,679",56.6%,"$171,210,907",43.4%,1995,,$0,$0,,,
319,Solo: A Star Wars Story,"$392,924,807","$213,767,512",54.4%,"$179,157,295",45.6%,2018,WaltDisneyStudiosMotionPictures,"$84,420,489","$275,000,000","May23,2018(EMEA,APAC)",2hr15min,ActionAdventureSci-Fi
320,The Wolf of Wall Street,"$392,000,694","$116,900,694",29.8%,"$275,100,000",70.2%,2013,ParamountPictures,"$18,361,578","$100,000,000","December25,2013(EMEA,Domestic)",3hr,BiographyCrimeDrama
321,Superman Returns,"$391,081,192","$200,081,192",51.2%,"$191,000,000",48.8%,2006,WarnerBros.,"$52,535,096","$270,000,000","June28,2006(5markets)",2hr34min,ActionSci-Fi
322,Robin Hood: Prince of Thieves,"$390,493,908","$165,493,908",42.4%,"$225,000,000",57.6%,1991,,$0,$0,,,
323,Indiana Jones and the Raiders of the Lost Ark,"$389,925,971","$248,159,971",63.6%,"$141,766,000",36.4%,1981,ParamountPictures,"$8,305,823","$18,000,000","June12,1981(Domestic)",1hr55min,ActionAdventure
324,Independence Day: Resurgence,"$389,681,935","$103,144,286",26.5%,"$286,537,649",73.5%,2016,TwentiethCenturyFox,"$41,039,944","$165,000,000","June22,2016(APAC)",2hr,ActionAdventureSci-Fi
325,Live Free or Die Hard,"$388,156,011","$134,529,403",34.7%,"$253,626,608",65.3%,2007,TwentiethCenturyFox,"$33,369,559","$110,000,000","June26,2007(Finland)",2hr8min,ActionThriller
326,Monster Hunt,"$387,053,506","$32,766",<0.1%,"$387,020,740",100%,2015,,$0,$0,,,
327,Godzilla: King of the Monsters,"$386,600,138","$110,500,138",28.6%,"$276,100,000",71.4%,2019,WarnerBros.,"$47,776,293","$170,000,000","May29,2019(APAC,EMEA)",2hr12min,ActionAdventureFantasySci-Fi
328,Home,"$386,041,607","$177,397,510",46%,"$208,644,097",54%,2015,TwentiethCenturyFox,"$52,107,731","$135,000,000","March19,2015(EMEA,APAC)",1hr34min,AdventureAnimationComedyFamilyFantasySci-Fi
329,Star Trek,"$385,680,446","$257,730,019",66.8%,"$127,950,427",33.2%,2009,ParamountPictures,"$75,204,289","$150,000,000","May6,2009(EMEA)",2hr7min,ActionAdventureSci-Fi
330,1917,"$384,983,987","$159,227,644",41.4%,"$225,756,343",58.6%,2019,UniversalPictures,"$576,216","$95,000,000","December25,2019(Domestic)",1hr59min,ActionDramaWar
331,Happy Feet,"$384,336,108","$198,000,317",51.5%,"$186,335,791",48.5%,2006,WarnerBros.,"$41,533,432","$100,000,000","November17,2006(3markets)",1hr48min,AdventureAnimationComedyFamilyFantasyMusicalRomance
332,Cars 3,"$383,930,656","$152,901,115",39.8%,"$231,029,541",60.2%,2017,,$0,$0,,,
333,Ice Age,"$383,257,136","$176,387,405",46%,"$206,869,731",54%,2002,TwentiethCenturyFox,"$46,312,454","$59,000,000","March14,2002(LATAM,APAC)",1hr21min,AdventureAnimationComedyFamily
334,Back to the Future,"$381,906,762","$211,406,762",55.4%,"$170,500,000",44.6%,1985,,$0,$0,,,
335,Fifty Shades Darker,"$381,545,846","$114,581,250",30%,"$266,964,596",70%,2017,UniversalPictures,"$46,607,250","$55,000,000","February8,2017(5markets)",1hr58min,DramaRomance
336,Monsters vs. Aliens,"$381,509,870","$198,351,526",52%,"$183,158,344",48%,2009,DreamWorks,"$59,321,095","$175,000,000","March19,2009(APAC,EMEA)",1hr34min,AdventureAnimationComedyFamilyFantasyMysterySci-Fi
337,Godzilla,"$379,014,294","$136,314,294",36%,"$242,700,000",64%,1998,SonyPicturesEntertainment(SPE),"$44,047,541","$130,000,000","May20,1998(Domestic)",2hr19min,ActionSci-FiThriller
338,True Lies,"$378,882,411","$146,282,411",38.6%,"$232,600,000",61.4%,1994,TwentiethCenturyFox,"$25,869,770","$115,000,000","July15,1994(Domestic)",2hr21min,ActionComedyThriller
339,Slumdog Millionaire,"$378,410,542","$141,319,928",37.4%,"$237,090,614",62.6%,2008,FoxSearchlightPictures,"$360,018","$15,000,000","November12,2008(Domestic)",2hr,DramaRomance
340,Black Widow,"$378,283,638","$183,433,868",48.5%,"$194,849,770",51.5%,2021,,$0,$0,,,
341,Taken 2,"$376,152,455","$139,854,287",37.2%,"$236,298,168",62.8%,2012,TwentiethCenturyFox,"$49,514,769","$45,000,000","September27,2012(SouthKorea)",1hr32min,ActionCrimeThriller
342,G.I. Joe: Retaliation,"$375,740,705","$122,523,060",32.6%,"$253,217,645",67.4%,2013,ParamountPictures,"$40,501,814","$130,000,000","March27,2013(9markets)",1hr50min,ActionAdventureSci-FiThriller
343,Mad Max: Fury Road,"$375,658,750","$154,058,340",41%,"$221,600,410",59%,2015,WarnerBros.,"$45,428,128","$150,000,000","May7,2015(Ukraine)",2hr,ActionAdventureSci-FiThriller
344,Spider-Man: Into the Spider-Verse,"$375,540,831","$190,241,310",50.7%,"$185,299,521",49.3%,2018,SonyPicturesEntertainment(SPE),"$35,363,376","$90,000,000","December12,2018(EMEA,APAC)",1hr57min,ActionAdventureAnimationComedyFamilyFantasySci-Fi
345,Shark Tale,"$374,583,879","$160,861,908",42.9%,"$213,721,971",57.1%,2004,DreamWorksDistribution,"$47,604,606","$75,000,000","September23,2004(APAC)",1hr30min,AdventureAnimationComedyFamilyFantasy
346,Once Upon a Time... In Hollywood,"$374,565,754","$142,502,728",38%,"$232,063,026",62%,2019,SonyPicturesEntertainment(SPE),"$41,082,018","$90,000,000","July25,2019(HongKong)",2hr41min,ComedyDrama
347,What Women Want,"$374,111,707","$182,811,707",48.9%,"$191,300,000",51.1%,2000,ParamountPictures,"$33,614,543","$70,000,000","December15,2000(Domestic)",2hr7min,ComedyFantasyRomance
348,The Adventures of Tintin,"$373,993,951","$77,591,831",20.8%,"$296,402,120",79.2%,2011,,$0,$0,,,
349,Batman Begins,"$373,661,946","$206,852,432",55.4%,"$166,809,514",44.6%,2005,WarnerBros.,"$48,745,440","$150,000,000","June15,2005(6markets)",2hr20min,ActionAdventure
350,Penguins of Madagascar,"$373,515,621","$83,850,911",22.4%,"$289,664,710",77.6%,2014,TwentiethCenturyFox,"$25,447,444","$132,000,000","November14,2014(China)",1hr32min,AdventureAnimationComedyFamilySci-Fi
351,X-Men Origins: Wolverine,"$373,062,864","$179,883,157",48.2%,"$193,179,707",51.8%,2009,TwentiethCenturyFox,"$85,058,003","$150,000,000","April29,2009(28markets)",1hr47min,ActionSci-Fi
352,The Golden Compass,"$372,234,864","$70,107,728",18.8%,"$302,127,136",81.2%,2007,NewLineCinema,"$26,125,000","$180,000,000","December5,2007(EMEA,APAC)",1hr53min,AdventureFamilyFantasy
353,Fifty Shades Freed,"$371,987,838","$100,407,760",27%,"$271,580,078",73%,2018,UniversalPictures,"$38,560,195","$55,000,000","February7,2018(EMEA,APAC)",1hr45min,DramaRomanceThriller
354,Hitch,"$371,594,210","$179,495,555",48.3%,"$192,098,655",51.7%,2005,SonyPicturesEntertainment(SPE),"$43,142,214","$70,000,000","February11,2005(Domestic,LATAM)",1hr58min,ComedyRomance
355,Terminator Salvation,"$371,353,001","$125,322,469",33.8%,"$246,030,532",66.2%,2009,WarnerBros.,"$42,558,390","$200,000,000","May20,2009(Jordan)",1hr55min,ActionSci-Fi
356,Captain America: The First Avenger,"$370,569,774","$176,654,505",47.7%,"$193,915,269",52.3%,2011,ParamountPictures,"$65,058,524","$140,000,000","July22,2011(Domestic,EMEA)",2hr4min,ActionAdventureSci-Fi
357,Edge of Tomorrow,"$370,541,256","$100,206,256",27%,"$270,335,000",73%,2014,WarnerBros.,"$28,760,246","$178,000,000","May28,2014(EMEA)",1hr53min,ActionAdventureSci-Fi
358,There's Something About Mary,"$369,884,651","$176,484,651",47.7%,"$193,400,000",52.3%,1998,TwentiethCenturyFox,"$13,740,644","$23,000,000","July15,1998(Domestic)",1hr59min,ComedyRomance
359,Gone Girl,"$369,330,363","$167,767,189",45.4%,"$201,563,174",54.6%,2014,TwentiethCenturyFox,"$37,513,109","$61,000,000","October2,2014(24markets)",2hr29min,DramaMysteryThriller
360,The Fugitive,"$368,875,760","$183,875,760",49.8%,"$185,000,000",50.2%,1993,,$0,$0,,,
361,Jurassic Park III,"$368,780,809","$181,171,875",49.1%,"$187,608,934",50.9%,2001,UniversalPictures,"$50,771,645","$93,000,000","July5,2001(Netherlands)",1hr32min,ActionAdventureSci-FiThriller
362,My Big Fat Greek Wedding,"$368,744,044","$241,438,208",65.5%,"$127,305,836",34.5%,2002,IFCFilms,"$597,362","$5,000,000","April19,2002(Domestic)",1hr35min,ComedyDramaRomance
363,Hello Mr. Billionaire,"$366,961,907",-,-,"$366,961,907",100%,2018,,$0,$0,,,
364,Die Hard with a Vengeance,"$366,101,666","$100,012,499",27.3%,"$266,089,167",72.7%,1995,TwentiethCenturyFox,"$22,162,245","$90,000,000","May19,1995(Domestic)",2hr8min,ActionAdventureThriller
365,Shazam!,"$365,971,656","$140,371,656",38.4%,"$225,600,000",61.6%,2019,WarnerBros.,"$53,505,326","$100,000,000","April3,2019(EMEA,APAC)",2hr12min,ActionAdventureComedyFantasy
366,The Nun,"$365,551,694","$117,450,119",32.1%,"$248,101,575",67.9%,2018,WarnerBros.,"$53,807,379","$22,000,000","September5,2018(Indonesia)",1hr36min,HorrorMysteryThriller
367,Alvin and the Chipmunks,"$365,352,546","$217,326,974",59.5%,"$148,025,572",40.5%,2007,TwentiethCenturyFox,"$44,307,417","$60,000,000","December12,2007(LATAM)",1hr32min,AdventureAnimationComedyFamilyFantasyMusicMusical
368,Notting Hill,"$363,889,678","$116,089,678",31.9%,"$247,800,000",68.1%,1999,UniversalPictures,"$21,811,180","$42,000,000","May28,1999(Domestic)",2hr4min,ComedyDramaRomance
369,Tenet,"$363,656,624","$58,456,624",16.1%,"$305,200,000",83.9%,2020,,$0,$0,,,
370,A Bug's Life,"$363,258,859","$162,798,565",44.8%,"$200,460,294",55.2%,1998,,$0,$0,,,
371,Night at the Museum: Secret of the Tomb,"$363,204,635","$113,746,621",31.3%,"$249,458,014",68.7%,2014,TwentiethCenturyFox,"$17,100,520","$127,000,000","December17,2014(Egypt)",1hr38min,AdventureComedyFamilyFantasy
372,Ocean's Twelve,"$362,744,280","$125,544,280",34.6%,"$237,200,000",65.4%,2004,WarnerBros.,"$39,153,380","$110,000,000","December9,2004(APAC)",2hr5min,CrimeThriller
373,Planet of the Apes,"$362,211,740","$180,011,740",49.7%,"$182,200,000",50.3%,2001,TwentiethCenturyFox,"$68,532,960","$100,000,000","July27,2001(Domestic)",1hr59min,ActionAdventureSci-FiThriller
374,The Hangover Part III,"$362,000,072","$112,200,072",31%,"$249,800,000",69%,2013,WarnerBros.,"$41,671,198","$103,000,000","May23,2013(4markets)",1hr40min,ComedyCrime
375,The World Is Not Enough,"$361,832,400","$126,943,684",35.1%,"$234,888,716",64.9%,1999,Metro-Goldwyn-Mayer(MGM),"$35,519,007","$135,000,000","November19,1999(Domestic)",2hr8min,ActionAdventureCrimeThriller
376,Monster Hunt 2,"$361,682,618","$706,153",0.2%,"$360,976,465",99.8%,2018,,$0,$0,,,
377,Fast & Furious,"$360,366,870","$155,064,265",43%,"$205,302,605",57%,2009,UniversalPictures,"$70,950,500","$85,000,000","April2,2009(13markets)",1hr47min,ActionThriller
378,Noah,"$359,200,044","$101,200,044",28.2%,"$258,000,000",71.8%,2014,ParamountPictures,"$43,720,472","$125,000,000","March20,2014(SouthKorea)",2hr18min,ActionAdventureDrama
379,The Karate Kid,"$359,126,022","$176,591,618",49.2%,"$182,534,404",50.8%,2010,SonyPicturesEntertainment(SPE),"$55,665,805","$40,000,000","June10,2010(APAC)",2hr20min,ActionDramaFamilySport
380,Home Alone 2: Lost in New York,"$358,994,850","$173,585,516",48.4%,"$185,409,334",51.6%,1992,,$0,$0,,,
381,Hotel Transylvania,"$358,375,603","$148,313,048",41.4%,"$210,062,555",58.6%,2012,SonyPicturesEntertainment(SPE),"$42,522,194","$85,000,000","September20,2012(Australia)",1hr31min,AdventureAnimationComedyFamilyFantasyHorrorRomance
382,Minority Report,"$358,372,926","$132,072,926",36.8%,"$226,300,000",63.2%,2002,TwentiethCenturyFox,"$35,677,125","$102,000,000","June20,2002(Australia)",2hr25min,ActionCrimeMysterySci-FiThriller
383,Your Name.,"$358,180,115","$5,017,246",1.4%,"$353,162,869",98.6%,2016,,$0,$0,,,
384,Top Gun,"$357,288,178","$180,258,178",50.4%,"$177,030,000",49.6%,1986,,$0,$0,,,
385,The Legend of Tarzan,"$356,700,357","$126,643,061",35.5%,"$230,057,296",64.5%,2016,WarnerBros.,"$38,527,856","$180,000,000","June29,2016(SouthKorea)",1hr50min,ActionAdventureDramaFantasyRomance
386,American Beauty,"$356,296,601","$130,096,601",36.5%,"$226,200,000",63.5%,1999,DreamWorksDistribution,"$861,531","$15,000,000","September15,1999(Domestic)",2hr2min,Drama
387,Spirited Away,"$355,705,051","$13,750,644",3.9%,"$341,954,407",96.1%,2001,,$0,$0,,,
388,Apollo 13,"$355,237,933","$173,837,933",48.9%,"$181,400,000",51.1%,1995,,$0,$0,,,
389,Rain Man,"$354,825,435","$172,825,435",48.7%,"$182,000,000",51.3%,1988,,$0,$0,,,
390,The Great Gatsby,"$353,642,274","$144,840,419",41%,"$208,801,855",59%,2013,WarnerBros.,"$50,085,185","$105,000,000","May10,2013(Domestic)",2hr23min,DramaRomance
391,Dumbo,"$353,284,621","$114,766,307",32.5%,"$238,518,314",67.5%,2019,WaltDisneyStudiosMotionPictures,"$45,990,748","$170,000,000","March27,2019(EMEA,APAC)",1hr52min,AdventureFamilyFantasy
392,"I, Robot","$353,133,898","$144,801,023",41%,"$208,332,875",59%,2004,TwentiethCenturyFox,"$52,179,887","$120,000,000","July15,2004(APAC,LATAM)",1hr55min,ActionDramaSci-FiThriller
393,Basic Instinct,"$352,927,224","$117,727,224",33.4%,"$235,200,000",66.6%,1992,TriStarPictures,"$15,129,385","$49,000,000","March20,1992(Domestic)",2hr7min,DramaMysteryThriller
394,Murder on the Orient Express,"$352,794,081","$102,826,543",29.2%,"$249,967,538",70.8%,2017,TwentiethCenturyFox,"$28,681,472","$55,000,000","November3,2017(UnitedKingdom)",1hr54min,CrimeDramaMystery
395,X-Men: First Class,"$352,616,690","$146,408,305",41.5%,"$206,208,385",58.5%,2011,TwentiethCenturyFox,"$55,101,604","$160,000,000","June1,2011(EMEA)",2hr11min,ActionAdventureSci-Fi
396,The Angry Birds Movie,"$352,333,929","$107,509,366",30.5%,"$244,824,563",69.5%,2016,SonyPicturesEntertainment(SPE),"$38,155,177","$73,000,000","May11,2016(EMEA,APAC)",1hr37min,AdventureAnimationComedyCrimeFamily
397,GoldenEye,"$352,194,034","$106,429,941",30.2%,"$245,764,093",69.8%,1995,,$0,$0,,,
398,Catch Me If You Can,"$352,114,312","$164,615,351",46.8%,"$187,498,961",53.2%,2002,DreamWorksDistribution,"$30,053,627","$52,000,000","December25,2002(Domestic)",2hr21min,BiographyCrimeDrama
399,Now You See Me,"$351,723,989","$117,723,989",33.5%,"$234,000,000",66.5%,2013,Lionsgate,"$29,350,389","$75,000,000","May29,2013(Philippines)",1hr55min,CrimeMysteryThriller
400,Hannibal,"$351,692,268","$165,092,268",46.9%,"$186,600,000",53.1%,2001,Metro-Goldwyn-Mayer(MGM),"$58,003,121","$87,000,000","February9,2001(Domestic)",2hr11min,CrimeDramaThriller
401,The Mask,"$351,583,407","$119,938,730",34.1%,"$231,644,677",65.9%,1994,NewLineCinema,"$23,117,068","$23,000,000","July29,1994(Domestic)",1hr41min,ActionComedyCrimeFantasy
402,Peter Rabbit,"$351,496,066","$115,253,424",32.8%,"$236,242,642",67.2%,2018,SonyPicturesEntertainment(SPE),"$25,010,928","$50,000,000","February8,2018(Aruba)",1hr35min,AdventureAnimationComedyFamilyFantasy
403,Speed,"$350,448,145","$121,248,145",34.6%,"$229,200,000",65.4%,1994,TwentiethCenturyFox,"$14,456,194","$30,000,000","June10,1994(Domestic)",1hr56min,ActionAdventureThriller
404,Dinosaur,"$349,822,765","$137,748,063",39.4%,"$212,074,702",60.6%,2000,WaltDisneyStudiosMotionPictures,"$38,854,851","$127,500,000","May19,2000(Domestic)",1hr22min,AdventureAnimationDramaFamilyFantasy
405,Mary Poppins Returns,"$349,546,142","$171,958,438",49.2%,"$177,587,704",50.8%,2018,WaltDisneyStudiosMotionPictures,"$23,523,121","$130,000,000","December19,2018(EMEA,Domestic)",2hr10min,ComedyFamilyFantasyMusical
406,Deep Impact,"$349,464,664","$140,464,664",40.2%,"$209,000,000",59.8%,1998,,$0,$0,,,
407,The Lorax,"$348,840,316","$214,030,500",61.4%,"$134,809,816",38.6%,2012,UniversalPictures,"$70,217,070","$70,000,000","March1,2012(UnitedArabEmirates)",1hr26min,AdventureAnimationComedyDramaFamilyFantasyMusical
408,The Maze Runner,"$348,319,861","$102,427,862",29.4%,"$245,891,999",70.6%,2014,TwentiethCenturyFox,"$32,512,804","$34,000,000","September11,2014(LATAM,APAC)",1hr53min,ActionMysterySci-FiThriller
409,The Smurfs 2,"$347,545,360","$71,017,784",20.4%,"$276,527,576",79.6%,2013,SonyPicturesEntertainment(SPE),"$17,548,389","$105,000,000","July31,2013(7markets)",1hr45min,AdventureAnimationComedyFamilyFantasy
410,National Treasure,"$347,512,318","$173,008,894",49.8%,"$174,503,424",50.2%,2004,WaltDisneyStudiosMotionPictures,"$35,142,554","$100,000,000","November19,2004(Domestic,APAC)",2hr11min,ActionAdventureMysteryThriller
411,Rush Hour 2,"$347,325,802","$226,164,286",65.1%,"$121,161,516",34.9%,2001,NewLineCinema,"$67,408,222","$90,000,000","August3,2001(EMEA,Domestic)",1hr30min,ActionComedyCrimeThriller
412,Trolls,"$346,864,886","$153,707,064",44.3%,"$193,157,822",55.7%,2016,TwentiethCenturyFox,"$46,581,142","$125,000,000","October13,2016(EMEA)",1hr32min,AdventureAnimationComedyFamilyFantasyMusicalRomance
413,xXx: Return of Xander Cage,"$346,118,277","$44,898,413",13%,"$301,219,864",87%,2017,ParamountPictures,"$20,130,142","$85,000,000","January18,2017(EMEA,APAC)",1hr47min,ActionAdventureThriller
414,Pocahontas,"$346,079,773","$141,579,773",40.9%,"$204,500,000",59.1%,1995,,$0,$0,,,
415,How the Grinch Stole Christmas,"$345,573,032","$260,465,005",75.4%,"$85,108,027",24.6%,2000,UniversalPictures,"$55,082,330","$123,000,000","November17,2000(Domestic)",1hr44min,ComedyFamilyFantasy
416,Star Trek Beyond,"$343,471,816","$158,848,340",46.2%,"$184,623,476",53.8%,2016,ParamountPictures,"$59,253,211","$185,000,000","July20,2016(APAC)",2hr2min,ActionAdventureSci-FiThriller
417,Alvin and the Chipmunks: Chipwrecked,"$342,695,435","$133,110,742",38.8%,"$209,584,693",61.2%,2011,TwentiethCenturyFox,"$23,244,744","$75,000,000","December14,2011(Egypt)",1hr27min,AdventureAnimationComedyFamilyMusical
418,Wanted,"$342,463,063","$134,508,551",39.3%,"$207,954,512",60.7%,2008,UniversalPictures,"$50,927,085","$75,000,000","June26,2008(EMEA,APAC)",1hr50min,ActionCrimeThriller
419,The Flintstones,"$341,631,208","$130,531,208",38.2%,"$211,100,000",61.8%,1994,UniversalPictures,"$29,688,730","$46,000,000","May27,1994(Domestic)",1hr31min,ComedyFamilyFantasy
420,A Quiet Place,"$340,952,971","$188,024,361",55.2%,"$152,928,610",44.8%,2018,ParamountPictures,"$50,203,562","$17,000,000","April4,2018(Indonesia)",1hr30min,DramaHorrorSci-Fi
421,Enchanted,"$340,487,836","$127,807,262",37.5%,"$212,680,574",62.5%,2007,WaltDisneyStudiosMotionPictures,"$34,440,317","$85,000,000","November21,2007(Domestic,APAC)",1hr47min,AnimationComedyFamilyFantasyMusicalRomance
422,Over the Hedge,"$339,795,890","$155,019,340",45.6%,"$184,776,550",54.4%,2006,,$0,$0,,,
423,300: Rise of an Empire,"$337,580,051","$106,580,051",31.6%,"$231,000,000",68.4%,2014,WarnerBros.,"$45,038,460","$110,000,000","March5,2014(EMEA)",1hr42min,ActionDrama
424,Batman Forever,"$336,567,158","$184,069,126",54.7%,"$152,498,032",45.3%,1995,WarnerBros.,"$52,784,433","$100,000,000","June16,1995(Domestic)",2hr1min,ActionAdventure
425,Prince of Persia: The Sands of Time,"$336,365,676","$90,759,676",27%,"$245,606,000",73%,2009,WaltDisneyStudiosMotionPictures,"$30,095,259","$200,000,000","July16,2009(Australia)",1hr56min,ActionAdventureFantasy
426,The Curious Case of Benjamin Button,"$335,802,786","$127,509,326",38%,"$208,293,460",62%,2008,ParamountPictures,"$26,853,816","$150,000,000","December25,2008(APAC,Domestic)",2hr46min,DramaFantasyRomance
427,Journey 2: The Mysterious Island,"$335,260,290","$103,860,290",31%,"$231,400,000",69%,2012,WarnerBros.,"$27,335,363","$79,000,000","January19,2012(APAC)",1hr34min,ActionAdventureComedyFamilyFantasySci-Fi
428,The Rock,"$335,062,621","$134,069,511",40%,"$200,993,110",60%,1996,WaltDisneyStudiosMotionPictures,"$25,069,525","$75,000,000","June7,1996(Domestic)",2hr16min,ActionAdventureThriller
429,The Great Wall,"$334,933,831","$45,540,830",13.6%,"$289,393,001",86.4%,2016,UniversalPictures,"$18,469,620","$150,000,000","December16,2016(China)",1hr43min,ActionAdventureFantasyThriller
430,Now You See Me 2,"$334,897,606","$65,075,540",19.4%,"$269,822,066",80.6%,2016,,$0,$0,,,
431,Never Say Die,"$334,530,869",-,-,"$334,530,869",100%,2017,,$0,$0,,,
432,Fantastic Four,"$333,535,934","$154,696,080",46.4%,"$178,839,854",53.6%,2005,TwentiethCenturyFox,"$56,061,504","$100,000,000","July6,2005(LATAM,APAC)",1hr46min,ActionAdventureFantasySci-Fi
433,Indiana Jones and the Temple of Doom,"$333,107,271","$179,870,271",54%,"$153,237,000",46%,1984,,$0,$0,,,
434,Tomorrow Never Dies,"$333,011,068","$125,304,276",37.6%,"$207,706,792",62.4%,1997,,$0,$0,,,
435,Back to the Future Part II,"$332,500,002","$119,000,002",35.8%,"$213,500,000",64.2%,1989,,$0,$0,,,
436,The Good Dinosaur,"$332,207,671","$123,087,120",37%,"$209,120,551",63%,2015,,$0,$0,,,
437,22 Jump Street,"$331,333,876","$191,719,337",57.9%,"$139,614,539",42.1%,2014,SonyPicturesEntertainment(SPE),"$57,071,445","$50,000,000","June5,2014(Netherlands)",1hr52min,ActionComedyCrime
438,Meet the Parents,"$330,444,045","$166,244,045",50.3%,"$164,200,000",49.7%,2000,UniversalPictures,"$28,623,300","$55,000,000","October6,2000(Domestic)",1hr48min,ComedyRomance
439,Who Framed Roger Rabbit,"$329,803,958","$156,452,370",47.4%,"$173,351,588",52.6%,1988,,$0,$0,,,
440,Black Swan,"$329,398,046","$106,954,678",32.5%,"$222,443,368",67.5%,2010,FoxSearchlightPictures,"$1,443,809","$13,000,000","December3,2010(Domestic)",1hr48min,DramaThriller
441,The Perfect Storm,"$328,718,434","$182,618,434",55.6%,"$146,100,000",44.4%,2000,WarnerBros.,"$41,325,042","$140,000,000","June30,2000(Domestic)",2hr10min,ActionAdventureDramaThriller
442,Crocodile Dundee,"$328,203,506","$174,803,506",53.3%,"$153,400,000",46.7%,1986,,$0,$0,,,
443,Crazy Alien,"$327,598,891",-,-,"$327,598,891",100%,2019,,$0,$0,,,
444,Se7en,"$327,333,559","$100,125,643",30.6%,"$227,207,916",69.4%,1995,NewLineCinema,"$13,949,807","$33,000,000","September22,1995(Domestic)",2hr7min,CrimeDramaMysteryThriller
445,John Wick: Chapter 3 - Parabellum,"$327,281,779","$171,015,687",52.2%,"$156,266,092",47.8%,2019,Lionsgate,"$56,818,067","$75,000,000","May15,2019(APAC,EMEA)",2hr10min,ActionCrimeThriller
446,The Devil Wears Prada,"$326,706,115","$124,740,460",38.2%,"$201,965,655",61.8%,2006,TwentiethCenturyFox,"$27,537,244","$35,000,000","June30,2006(Domestic)",1hr49min,ComedyDrama
447,Taken 3,"$326,479,141","$89,256,424",27.3%,"$237,222,717",72.7%,2015,TwentiethCenturyFox,"$39,201,657","$48,000,000","January1,2015(APAC)",1hr48min,ActionCrimeThriller
448,Shang-Chi and the Legend of the Ten Rings,"$325,949,036","$181,833,064",55.8%,"$144,115,972",44.2%,2021,,$0,$0,,,
449,The Hunchback of Notre Dame,"$325,338,851","$100,138,851",30.8%,"$225,200,000",69.2%,1996,,$0,$0,,,
