Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,Distributor,Opening,Budget,Date,Runtime,Genres
196,Brave,"$538,983,207","$237,283,207",44%,"$301,700,000",56%,2012,WaltDisneyStudiosMotionPictures,"$66,323,594","$185,000,000","June21,2012(6markets)",1hr33min,AdventureAnimationComedyFamilyFantasy
197,Star Wars: Episode V - The Empire Strikes Back,"$538,375,067","$292,753,960",54.4%,"$245,621,107",45.6%,1980,TwentiethCenturyFox,"$4,910,483","$18,000,000","May21,1980(Domestic)",2hr4min,ActionAdventureFantasySci-Fi
198,The Simpsons Movie,"$536,414,293","$183,135,014",34.1%,"$353,279,279",65.9%,2007,TwentiethCenturyFox,"$74,036,787","$75,000,000","July25,2007(11markets)",1hr27min,AdventureAnimationComedy
199,The Revenant,"$532,950,503","$183,637,894",34.5%,"$349,312,609",65.5%,2015,TwentiethCenturyFox,"$474,560","$135,000,000","December25,2015(Domestic)",2hr36min,ActionAdventureDramaHistoryWestern
200,The Meg,"$530,259,473","$145,443,742",27.4%,"$384,815,731",72.6%,2018,WarnerBros.,"$45,402,195","$130,000,000","August8,2018(Indonesia)",1hr53min,ActionHorrorSci-FiThriller
201,Ralph Breaks the Internet,"$529,323,962","$201,091,711",38%,"$328,232,251",62%,2018,WaltDisneyStudiosMotionPictures,"$56,237,634","$175,000,000","November21,2018(APAC,Domestic)",1hr52min,AdventureAnimationComedyFamilyFantasySci-Fi
202,Hotel Transylvania 3: Summer Vacation,"$528,583,774","$167,510,016",31.7%,"$361,073,758",68.3%,2018,SonyPicturesEntertainment(SPE),"$44,076,225","$80,000,000","June28,2018(Australia)",1hr37min,AdventureAnimationComedyFamilyFantasyHorrorRomance
203,The Boss Baby,"$527,965,936","$175,003,033",33.2%,"$352,962,903",66.8%,2017,,$0,$0,,,
204,Dunkirk,"$527,016,307","$189,740,665",36%,"$337,275,642",64%,2017,WarnerBros.,"$50,513,488","$100,000,000","July19,2017(EMEA)",1hr46min,ActionDramaHistoryThrillerWar
205,How to Train Your Dragon: The Hidden World,"$525,687,703","$160,799,505",30.6%,"$364,888,198",69.4%,2019,UniversalPictures,"$55,022,245","$129,000,000","January3,2019(APAC)",1hr44min,ActionAdventureAnimationComedyDramaFamilyFantasyRomance
206,Godzilla,"$524,976,069","$200,676,069",38.2%,"$324,300,000",61.8%,2014,WarnerBros.,"$93,188,384","$160,000,000","May14,2014(EMEA)",2hr3min,ActionAdventureSci-FiThriller
