,primary_name
288,Cédric Klapisch
289,Cedric Nicolas-Troyan
290,Céline Sciamma
291,Cesc Gay
292,Chad Stahelski
293,Chakri Toleti
294,Chandra Barot
295,Chang-dong Lee
296,Charles Ferguson
297,Charles Herman-Wurmfeld
298,Charles Martin Smith
299,Charles Shyer
300,Charles Stone III
301,Charles Vidor
302,Charles Walters
303,Charlie Bean
304,Charlie Kaufman
305,Charlie McDowell
306,Chia-Liang Liu
307,Chris Addison
308,Chris Buck
309,Chris Butler
310,Chris Columbus
311,Chris Gerolmo
312,Chris Koch
313,Chris McKay
314,Chris Miller
315,Chris Nahon
316,Chris Noonan
317,Chris Renaud
318,Chris Robinson
319,Chris Sanders
320,Chris Smith
321,Christian Alvart
322,Christian Cantamessa
323,Christian Ditter
324,Christian Duguay
325,Christian Duurvoort
326,Christian Petzold
327,Christian Rivers
328,Christian Volckman
329,Christine Crokos
330,Christine Jeffs
331,Christoffer Boe
332,Christophe Gans
333,Christophe Lourdelet
334,Christopher Caldwell
335,Christopher Folino
336,Christopher Guest
337,Christopher Landon
338,Christopher Leone
339,Christopher McQuarrie
340,Christopher Miller
341,Christopher Nolan
342,Christopher Smith
343,Christopher Spencer
344,Chris Wedge
345,Chris Weitz
346,Chris Williams
347,Chuck Konzelman
348,Chuck Russell
349,Chung-Hyun Lee
350,Ciarán Foy
351,Cindy Chupack
352,Claire Denis
353,Clare Kilner
354,Clark Gregg
355,Clark Johnson
356,Clay Kaytis
357,Clint Eastwood
358,Clive Donner
359,Cody Cameron
360,Colin Trevorrow
361,Conrad Vernon
362,Coralie Fargeat
363,Corey Yuen
364,Corin Hardy
365,Cory Finley
366,Costa-Gavras
367,Courtney Solomon
368,Craig Brewer
369,Craig Gillespie
370,Craig Johnson
371,Craig Moss
372,Craig Zobel
373,Curtis Hanson
374,Cy Endfield
375,Damian Nieman
376,Damien Chazelle
377,Damon Santostefano
378,Dan Berk
379,Dan Bradley
380,Dan Fogelman
381,Dan Gilroy
382,Daniel Barber
383,Daniel Barnz
384,Daniel Benmayor
385,Daniel Espinosa
386,Daniel Goldhaber
387,Daniel Lee
388,Daniel Minahan
389,Daniel Myrick
390,Daniel Ragussis
391,Daniel Sackheim
392,Daniel Stamm
393,Danis Tanovic
394,Dan Mazer
395,Danny Boyle
396,Danny Cannon
397,Danny DeVito
398,Danny Pang
399,Dan Rush
400,Dan Scanlon
401,Dario Argento
402,Darnell Martin
403,Darren Aronofsky
404,Darren Grant
405,Darren Lynn Bousman
406,Darren Stein
407,Dave Green
408,Dave McKean
409,Dave Payne
410,Dave Wilson
411,David Anspaugh
412,David Atkins
413,David Ayer
414,David Bowers
415,David Bruckner
416,David Carson
417,David Cronenberg
418,David Dobkin
419,David Evans
420,David Fincher
421,David Frankel
422,David F. Sandberg
423,David Gelb
424,David Gordon Green
425,David Hackl
426,David Hand
427,David J. Burke
428,David Kerr
429,David Koepp
430,David Lean
431,David Leitch
432,David Levien
433,David Lowery
434,David Lynch
435,David Mackenzie
436,David Mamet
437,David Mandel
438,David Marmor
439,David McNally
440,David Michôd
441,David Mirkin
442,David Moreau
443,David M. Rosenthal
444,David O. Russell
445,David Palmer
446,David Pastor
447,David Raynr
448,David R. Ellis
449,David Schwimmer
450,David Seltzer
451,David S. Goyer
452,David Siegel
453,David Silverman
454,David Soren
455,David Twohy
456,David Wain
457,David Yarovesky
458,David Yates
459,David Zucker
460,Davis Guggenheim
461,Dean DeBlois
462,Dean Devlin
463,Dean Israelite
464,Dean Parisot
465,Deborah Kaplan
466,Declan Donnellan
467,Deepa Mehta
468,Delbert Mann
469,Delmer Daves
470,Demián Rugna
471,Denise Di Novi
472,Denis Villeneuve
473,Deniz Gamze Ergüven
474,Dennie Gordon
475,Dennis Dugan
476,Dennis Hopper
477,Dennis Lee
478,Dennis Widmyer
479,Deon Taylor
480,Deran Sarafian
481,Derek Cianfrance
482,Derick Martini
483,Derrick Borte
484,Desmond Davis
485,Destin Daniel Cretton
486,Dewey Nicks
487,Dexter Fletcher
488,Dharani
489,Dharmendra Suresh Desai
490,Diederik Van Rooijen
491,Dito Montiel
492,D.J. Caruso
493,D. Kerry Prior
494,Dome Karukoski
495,Dominic Sena
496,Donald Petrie
497,Don Bluth
498,Don Coscarelli
499,Dong-hyuk Hwang
500,Don Hall
501,Donovan Marsh
502,Don Paul
503,Don Roos
504,Don Scardino
505,Doug Atchison
506,Doug Ellin
507,Douglas Aarniokoski
508,Douglas Cheek
509,Douglas McGrath
510,Doug Liman
511,Doug Sweetland
512,Drake Doremus
513,Drew Goddard
514,Duke Johnson
515,Duncan Jones
516,Durul Taylan
517,Dustin Hoffman
518,D.W. Griffith
519,Dwight H. Little
520,Dylan Brown
521,E.B. Hughes
522,Ed Decter
523,Eddie Mensore
524,Edgar Wright
525,Edmund Goulding
526,Eduardo Sánchez
527,Edward Sedgwick
528,Edward Watts
529,Edward Yang
530,Edward Zwick
531,E. Elias Merhige
532,Egor Abramenko
533,Eli Roth
534,Elizabeth Allen Rosenbaum
535,Elizabeth Banks
536,Elizabeth Chai Vasarhelyi
537,Elliot Silverstein
538,Ellory Elkayem
539,Emile Ardolino
540,Emmett Malloy
541,Enrico Casarosa
542,Eran Creevy
543,Eric Bress
544,Eric Brevig
545,Eric Darnell
546,Eric Goldberg
547,Eric Guillon
548,Eric Heisserer
549,Eric Leighton
550,Eric Red
551,Ericson Core
552,Eric Steel
553,Eric Till
554,Erik Skjoldbjærg
555,Erik Van Looy
556,Erik White
557,Ernest B. Schoedsack
558,Ernest R. Dickerson
559,Ernie Barbarash
560,Ernst Laemmle
561,Eshom Nelms
562,Espen Sandberg
563,Etan Cohen
564,Ethan Coen
565,Ethan Maniquis
566,Evan Goldberg
567,Fabián Bielinsky
568,Fabio Guaglione
569,Fabio Resinaro
570,Fabrice du Welz
571,Farhan Akhtar
572,Fatih Akin
573,Fede Alvarez
574,Federico D'Alessandro
575,Federico Fellini
576,Fedor Bondarchuk
577,Ferdinando Cito Filomarino
578,Fergal Reilly
579,Fernando Meirelles
580,F. Gary Gray
581,Fina Torres
582,Fisher Stevens
583,Florian Gallenberger
584,Florian Henckel von Donnersmarck
585,Florian Zeller
586,Floria Sigismondi
587,Ford Beebe Jr.
588,Forest Whitaker
589,Francis Ford Coppola
590,Francis Lawrence
591,Francis Veber
592,Franck Khalfoun
593,François Girard
594,François Ozon
595,François Simard
596,François Truffaut
597,Franco Zeffirelli
598,Frank Coraci
599,Frank Darabont
600,Franklin J. Schaffner
601,Frank Marshall
602,Frank Miller
603,Frank Oz
604,Frank Pierson
605,Fred Schepisi
606,Fred Walton
607,Fred Wolf
608,Fred Zinnemann
609,Fritz Böhm
610,Fritz Lang
611,Fruit Chan
612,Gabe Torres
613,Gabriele Muccino
614,Gareth Edwards
615,Gareth Evans
616,Garry Marshall
617,Garth Davis
618,Garth Jennings
619,Gary Dauberman
620,Gary David Goldberg
621,Gary Fleder
622,Gary Goldman
623,Gary McKendry
624,Gary Nelson
625,Gary Ross
626,Gary Shore
627,Gary Sinyor
628,Gary Trousdale
629,Gary Winick
630,Gaspar Noé
631,Gavin Hood
632,Gavin O'Connor
633,Gavin Rothery
634,Géla Babluani
635,Gene Stupnitsky
636,Gennaro Nunziante
637,Genndy Tartakovsky
638,George A. Romero
639,George Cukor
640,George Gallo
641,George Hickenlooper
642,George Lucas
643,George Mihalka
644,George Miller
645,George Nolfi
646,George Pal
647,George P. Cosmatos
648,George Ratliff
649,George Roy Hill
650,George Seaton
651,George Sherman
652,George Stevens
653,George Tillman Jr.
654,Gerald McMorrow
655,Gérard Krawczyk
656,Gerard McMurray
657,Gérard Pirès
658,Gia Coppola
659,Gil Junger
660,Gil Kenan
661,Gilles Mimouni
662,Gillian Armstrong
663,Gina Prince-Bythewood
664,Giuseppe Tornatore
665,Glen Morgan
666,Glenn Ficarra
667,Glenn McQuaid
668,Gonzalo López-Gallego
669,Gordon Douglas
670,Gordon Parks
671,Gore Verbinski
672,Götz Spielmann
673,Gowtam Tinnanuri
674,Graham Annable
675,Grant Heslov
676,Greg Berlanti
677,Greg Coolidge
678,Gregg Araki
679,Gregg Hale
680,Greg McLean
681,Greg Mottola
682,Gregor Jordan
683,Gregory Dark
684,Gregory Hoblit
