,primary_name
290,Ben Chaplin
291,Benedict Cumberbatch
292,Benedict Wong
293,Ben Foster
294,Ben Gazzara
295,Ben Hardy
296,Ben Huber
297,Benicio Del Toro
298,Benjamin Bratt
299,Benjamin Christensen
300,Benjamin Hollingsworth
301,Benjamin O'Mahony
302,Benjamin Salisbury
303,Benjamin Weir
304,Ben Kingsley
305,Ben McKenzie
306,Ben Mendelsohn
307,Ben Miller
308,Ben Niu
309,Benno Fürmann
310,Benny Hill
311,Benny Safdie
312,Benoît Magimel
313,Benoît Poelvoorde
314,Ben Schwartz
315,Ben Shenkman
316,Ben Silverstone
317,Ben Slack
318,Ben Stiller
319,Ben Walker
320,Ben Whishaw
321,Bernard Farcy
322,Bernard Hill
323,Bernard Lee
324,Bernhard Wicki
325,Bernie Mac
326,Bert Lahr
327,Beulah Koale
328,Bibi Naceri
329,Biff McGuire
330,Bill Barretta
331,Bill Camp
332,Bill Cobbs
333,Bill Goldberg
334,Bill Hader
335,Bill McKinney
336,Bill Milner
337,Bill Moseley
338,Bill Murray
339,Bill Nighy
340,Bill Paxton
341,Bill Pullman
342,Bill Sage
343,Bill Skarsgård
344,Bill Thornbury
345,Bill Tung
346,Billy Bob Thornton
347,Billy Burke
348,Billy Campbell
349,Billy Connolly
350,Billy Crudup
351,Billy Crystal
352,Billy Dee Williams
353,Billy Green Bush
354,Billy Mitchell
355,Billy Ray Cyrus
356,Billy Warlock
357,Billy Zane
358,Bing Shao
359,Birger Malmsten
360,Blake Jenner
361,Blondin Miguel
362,Bob Adriaens
363,Bob Balaban
364,Bob Boyd
365,Bobby Campo
366,Bobby Cannavale
367,Bobby Coleman
368,Bob Griffin
369,Bob Gunton
370,Bob Hoskins
371,Bob Newhart
372,Bob Odenkirk
373,Bob Tracey
374,Bo Hopkins
375,Bokeem Woodbine
376,Booboo Stewart
377,Boris Isakovic
378,Boris Karloff
379,Boris Nevzorov
380,Boyd Holbrook
381,Brad Davis
382,Brad Dourif
383,Bradford Dillman
384,Brad Garrett
385,Brad Gorton
386,Brad Greenquist
387,Bradley Cooper
388,Bradley Gregg
389,Bradley Sawatzky
390,Bradley Whitford
391,Brad Pitt
392,Brad Renfro
393,Brad Rowe
394,Brad William Henke
395,Brady Noon
396,Brandon De Wilde
